Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.07843138,18.64864867,12.12984055,3.961401724,7.962871732,5.882353953,7.307693245,8.203901293,2.547143687,1.185788511,7.046874992,1.991984449,1.238041842,7.622920649,4.18200163,-0.944953481,1.110504599,7.293728071,-0.383137672,1.127411464,3.089544385,1.835755172,-11.67774137,-2.733456793,3.369237184,-1.040799884,6.431482604,-1.586575138,-0.623625902,1.71962498,7.048533386,2.397085276,-2.232440392,-26.21182078,24.13262736,8.517918105,4.263719415,
Africa Eastern and Southern,AFE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,0.468736348,7.869708737,5.622373699,4.690458079,5.159573706,4.822754143,5.373501538,4.153709758,5.090730949,1.131789639,5.478625207,2.770046058,4.606825071,5.475577962,1.404899382,2.38262634,1.122200142,1.509365612,2.930458738,5.462682982,4.012526915,0.315831626,0.039946836,3.366386627,-0.12884684,2.265843483,3.954449355,4.27315488,2.694560946,0.17514466,-0.097708936,-2.346775948,-0.599105268,1.928967313,4.283421682,5.451990413,3.84228655,1.75227498,2.649921086,3.214946099,3.505726469,3.836077993,2.956241262,5.555396855,6.163380043,6.577873718,6.647020995,4.368186685,0.870983964,5.231635802,4.064941366,1.746871185,4.341457845,3.992862552,3.004936899,2.194760891,2.684543054,2.666631828,2.194318527,-2.864292511,4.576392802,3.553878364,2.320137802,
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.43197407,28.60000117,8.832277803,1.414117993,11.22971483,5.357403247,13.82631955,3.92498382,21.39052839,14.36244147,0.426354777,12.75228709,5.600744659,2.724543362,1.451314661,2.260314203,2.647003203,1.189228129,3.911603416,-2.351100672,-20.73883937,-6.240171992,2.710886791,
Africa Western and Central,AFW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.873054062,3.712776734,7.111967903,5.413942934,4.120854785,-1.517705141,-9.043619664,1.567103024,15.22015583,17.50848051,10.54059532,3.162877762,4.015128348,10.02016979,-2.138600516,8.425574968,4.565097564,-1.9307504,5.095242702,1.932434092,-6.74790083,-3.255237483,-6.338857158,0.530006732,5.331910829,1.359411063,1.437510026,4.65484881,1.710025466,5.761095558,1.016256454,2.371856893,-1.306531909,-0.330344119,1.877871742,4.63893516,4.409331973,3.603307207,1.533627574,3.868479413,5.172056042,9.974801834,5.545940594,7.987541626,5.823984126,5.371145727,5.530762586,6.278629231,6.271878282,6.96952404,4.853027842,5.168218837,6.160028843,5.920022961,2.720364536,0.160782097,2.28981038,2.844755417,3.232902512,-1.00399404,4.037629514,3.789679846,3.354732819,
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-4.400001219,0,4.200001429,6.000002165,3.49999949,2.900001742,4.082748635,6.128890478,0.041621462,-3.450098685,0.991359302,-5.838280733,-23.98341744,1.339363436,15.00000003,13.54436976,7.274277355,4.691146451,2.181489718,3.054624234,4.205998556,13.66568876,2.99,10.95000001,15.02999999,11.55,14.01000001,11.16999999,0.860000002,4.398375938,3.472053148,8.542107076,4.954613031,4.82255927,0.943571561,-2.580049644,-0.147212941,-1.316361689,-0.702272958,-5.638214717,1.199210521,3.044726524,1.00128936,
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,5.745635292,2.948596801,1.104938262,-1.251596644,1.780643959,5.637243179,-0.787842655,-1.420039656,9.836548972,-9.57564017,-28.00214166,-7.187110915,9.559411685,8.302866597,13.32233332,9.099999436,-10.91998408,8.829423758,12.89080364,6.946216592,8.293312631,4.53652416,5.528637465,5.514667911,5.526424247,5.902659036,5.983259519,7.50004143,3.35428935,3.706938153,2.545406145,1.4172428,1.002017541,1.774448853,2.218726375,3.314980684,3.80259872,4.019345617,2.06256754,-3.313716147,8.969553392,4.826688314,3.936625257,
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,4.649465356,8.149743527,7.788467245,5.618789627,0.54220567,3.303787053,2.838575569,1.46300017,0.041557223,2.208727611,-0.132474493,1.246461138,1.770118271,1.784686672,2.321433034,3.253321828,5.547122161,5.094326194,4.827034272,3.781387549,2.546003531,0.92921404,-1.03148439,2.383182248,2.757501613,4.649738668,9.067672051,3.194793393,4.099078922,3.528362361,8.119357722,4.546362214,8.694203716,8.135676338,5.397795985,4.808688699,1.553188141,-5.559186369,-5.302846543,-1.974958,-0.008069753,-4.974443719,-3.547596515,2.504465521,1.434140395,3.70967807,0.34607189,1.58876549,2.015547638,-11.18393994,8.28677879,9.564612256,2.58355481,
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,6.772778392,10.80107314,7.463789275,22.75538852,7.442421293,13.92003902,13.25919138,10.48023681,0.000931632,14.31291642,6.619734176,2.955442615,10.65044915,6.300619127,0.837362182,-5.914973362,-3.717641136,1.272167919,-0.810100961,-0.809872619,0.272054409,3.2551787,3.835555678,7.847293206,-0.73825438,6.571087877,3.272529191,3.370755467,2.812603464,4.827224243,5.462875424,4.770616331,2.791632547,6.354123171,2.103103222,1.22934164,4.28125391,9.076592829,5.569287093,6.295488541,4.609900391,5.565642708,0.649051133,4.836465321,3.569351213,5.002705661,2.550328132,2.522351465,3.243988903,3.614306799,1.537753314,2.630040035,1.583714664,-4.711784243,4.031106353,5.721433109,1.020751343,
United Arab Emirates,ARE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,36.61237785,39.07963759,76.62015504,14.49804127,6.227401389,16.52685651,21.43933017,-1.58960332,20.92357308,23.87477491,4.659176674,-6.719316186,-4.7458207,4.01695128,-3.594476517,-14.95813656,3.381981709,-2.618907704,12.33789128,18.32798553,0.860081948,3.344944858,1.261190946,6.896148553,6.68788646,5.798404069,8.190398649,0.291994342,2.90221364,10.85270422,1.399085037,2.433456811,8.800540814,9.566436638,4.855141196,9.837319769,3.184390173,3.191836273,-5.242921904,1.602850048,6.216121813,1.824480789,5.055559654,4.165691843,6.786772879,5.561490755,0.735068713,1.313913881,1.108348139,-4.957052437,4.354755299,7.509697032,3.618706535,
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.427842876,-0.852021522,-5.308196825,10.13029766,10.56943334,-0.659726171,3.191996623,4.822500779,9.679526011,3.045643319,5.658131082,1.628416518,2.811754038,5.533804396,-0.028412104,-2.018251517,6.934147757,-4.506124802,10.22276346,1.51878395,-5.189789141,-0.735659159,4.349093279,1.570738702,-5.189024353,6.153377063,2.704868828,-1.089933341,-7.156949656,-2.467213778,9.133110567,7.937291556,8.206979072,5.836200704,-2.845209611,5.526689827,8.111046771,3.850178852,-3.385457041,-0.788998939,-4.408839683,-10.89448483,8.837040796,9.029573301,8.85165992,8.0471515,9.007650875,4.057233103,-5.918525076,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.818502978,-2.617396463,-2.000861003,-9.900484814,10.44181199,5.269879674,-1.611001621,
