"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2025","3,385.36","3,340.07","3,391.45","3,340.07","157.09B","1.13%"
"05/01/2025","3,347.49","3,295.25","3,417.31","3,286.99","776.93B","2.09%"
"04/01/2025","3,279.03","3,340.71","3,361.13","3,040.69","952.11B","-1.70%"
"03/01/2025","3,335.75","3,328.40","3,439.05","3,297.53","1,003.50B","0.45%"
"02/01/2025","3,320.90","3,270.16","3,388.78","3,220.28","973.23B","2.16%"
"01/01/2025","3,250.60","3,347.94","3,351.72","3,140.98","763.71B","-3.02%"
"12/01/2024","3,351.76","3,328.48","3,494.87","3,323.01","1,293.59B","0.76%"
"11/01/2024","3,326.46","3,275.58","3,509.82","3,227.36","1,443.98B","1.42%"
"10/01/2024","3,279.82","3,674.40","3,674.40","3,152.82","1,254.21B","-1.70%"
"09/01/2024","3,336.50","2,832.35","3,358.59","2,689.70","695.00B","17.39%"
"08/01/2024","2,842.21","2,940.12","2,947.88","2,815.38","596.59B","-3.28%"
"07/01/2024","2,938.75","2,965.25","3,004.99","2,865.15","663.56B","-0.97%"
"06/01/2024","2,967.40","3,085.98","3,097.20","2,933.33","570.14B","-3.87%"
"05/01/2024","3,086.81","3,132.51","3,174.27","3,085.38","699.70B","-0.58%"
"04/01/2024","3,104.82","3,049.02","3,123.29","2,995.54","764.79B","2.09%"
"03/01/2024","3,041.17","3,013.82","3,090.05","2,984.12","772.07B","0.86%"
"02/01/2024","3,015.17","2,773.42","3,031.49","2,635.09","656.26B","8.13%"
"01/01/2024","2,788.55","2,972.77","2,976.27","2,724.16","692.52B","-6.27%"
"12/01/2023","2,974.93","3,027.35","3,038.98","2,882.02","605.86B","-1.81%"
"11/01/2023","3,029.67","3,038.18","3,089.77","3,009.12","649.43B","0.36%"
"10/01/2023","3,018.77","3,100.00","3,109.99","2,923.51","488.86B","-2.95%"
"09/01/2023","3,110.48","3,126.02","3,177.06","3,078.80","526.14B","-0.30%"
"08/01/2023","3,119.88","3,288.76","3,315.05","3,053.04","771.65B","-5.20%"
"07/01/2023","3,291.04","3,209.16","3,322.13","3,151.13","588.95B","2.78%"
"06/01/2023","3,202.06","3,196.15","3,276.55","3,144.25","590.47B","-0.08%"
"05/01/2023","3,204.56","3,306.48","3,418.95","3,168.57","705.06B","-3.57%"
"04/01/2023","3,323.27","3,277.34","3,396.17","3,229.45","671.56B","1.54%"
"03/01/2023","3,272.86","3,279.14","3,342.86","3,216.99","724.72B","-0.21%"
"02/01/2023","3,279.61","3,262.20","3,308.83","3,223.26","562.75B","0.74%"
"01/01/2023","3,255.67","3,087.51","3,310.49","3,073.05","413.34B","5.39%"
"12/01/2022","3,089.26","3,187.99","3,226.08","3,031.54","614.03B","-1.97%"
"11/01/2022","3,151.34","2,899.50","3,158.57","2,896.76","686.91B","8.91%"
"10/01/2022","2,893.48","3,026.94","3,099.92","2,885.09","413.86B","-4.33%"
"09/01/2022","3,024.39","3,196.54","3,278.17","3,021.93","549.02B","-5.55%"
"08/01/2022","3,202.14","3,246.62","3,296.00","3,155.19","705.00B","-1.57%"
"07/01/2022","3,253.24","3,400.26","3,424.84","3,226.23","688.09B","-4.28%"
"06/01/2022","3,398.62","3,179.69","3,417.01","3,160.04","873.94B","6.66%"
"05/01/2022","3,186.43","3,044.85","3,188.60","2,957.40","674.73B","4.57%"
"04/01/2022","3,047.06","3,234.67","3,290.26","2,863.65","747.79B","-6.31%"
"03/01/2022","3,252.20","3,471.36","3,500.29","3,023.30","870.20B","-6.07%"
"02/01/2022","3,462.31","3,407.76","3,500.15","3,390.46","537.73B","3.00%"
"01/01/2022","3,361.44","3,649.15","3,651.89","3,356.56","662.57B","-7.65%"
"12/01/2021","3,639.78","3,561.89","3,708.94","3,558.69","863.87B","2.13%"
"11/01/2021","3,563.89","3,530.40","3,602.74","3,448.44","715.13B","0.47%"
"10/01/2021","3,547.34","3,609.09","3,625.02","3,502.80","561.82B","-0.58%"
"09/01/2021","3,568.17","3,543.87","3,723.85","3,514.67","1,072.91B","0.68%"
"08/01/2021","3,543.94","3,385.69","3,544.09","3,367.64","894.27B","4.31%"
"07/01/2021","3,397.36","3,600.55","3,607.70","3,312.72","790.39B","-5.40%"
"06/01/2021","3,591.20","3,608.60","3,629.29","3,503.18","668.36B","-0.67%"
"05/01/2021","3,615.48","3,446.07","3,626.36","3,384.70","580.17B","4.89%"
"04/01/2021","3,446.86","3,444.81","3,497.12","3,373.09","569.53B","0.14%"
"03/01/2021","3,441.91","3,531.48","3,577.62","3,328.31","744.06B","-1.91%"
"02/01/2021","3,509.08","3,477.17","3,731.69","3,465.77","484.07B","0.75%"
"01/01/2021","3,483.07","3,474.68","3,637.10","3,446.55","663.96B","0.29%"
"12/01/2020","3,473.07","3,388.99","3,474.92","3,325.17","644.51B","2.40%"
"11/01/2020","3,391.76","3,228.72","3,456.74","3,209.91","568.06B","5.19%"
"10/01/2020","3,224.53","3,262.61","3,371.09","3,219.42","303.70B","0.20%"
"09/01/2020","3,218.05","3,389.74","3,425.63","3,202.34","490.62B","-5.23%"
"08/01/2020","3,395.68","3,332.18","3,456.72","3,263.27","735.91B","2.59%"
"07/01/2020","3,310.01","2,991.18","3,458.79","2,984.98","1,024.50B","10.90%"
"06/01/2020","2,984.67","2,871.96","2,990.83","2,871.96","469.98B","4.64%"
"05/01/2020","2,852.35","2,831.63","2,914.28","2,802.47","370.37B","-0.27%"
"04/01/2020","2,860.08","2,743.54","2,865.59","2,719.90","471.04B","3.99%"
"03/01/2020","2,750.30","2,899.31","3,074.26","2,646.80","698.95B","-4.51%"
"02/01/2020","2,880.30","2,716.70","3,058.90","2,685.27","653.70B","-3.23%"
